latitude,longitude,altitude,x,y,z
46.34028713117605,3.4351647713264764,279.18194985316933,95.6045,125.407,0.0
46.340240642604535,3.434987726326608,279.1816607846297,81.9738,120.239,0.0
46.3404499200595,3.435779353272567,279.1832150547331,142.921,143.504,0.0
46.340192646326614,3.4353235354135925,279.18194629757636,107.828,114.904,0.0
46.340212261873845,3.435640354106558,279.18244420227717,132.22,117.085,0.0
46.340446441978806,3.4361022254179616,279.1838107382103,167.779,143.118,0.0
46.34066906759669,3.4362410057349866,279.1847043908573,178.463,167.866,0.0
46.34076359992735,3.4360157459903737,279.18452915282194,161.12,178.374,0.0
46.34084522519457,3.435639178957914,279.18412442648514,132.128,187.447,0.0
46.34065994849453,3.4355690860457653,279.1834422762405,126.732,166.851,0.0
46.340621277472565,3.435408310430772,280.18309759095155,114.354,162.552,1.0
46.340513096649126,3.4351944581779277,279.1825285735759,97.8897,150.526,0.0
46.340420272063,3.434864124529761,279.1819540449306,72.4574,140.207,0.0
46.34029864239765,3.434439064292987,279.1813834567314,39.732,126.686,0.0
46.34037288208969,3.434846607089254,280.1208941065404,71.1088,134.939,0.939069
